"","common","age","no","percent"
"1","1","1",41,12.3493975903614
"2","2","1",39,10.9243697478992
"3","1","2",88,26.5060240963855
"4","2","2",98,27.4509803921569
"5","1","3",155,46.6867469879518
"6","2","3",156,43.6974789915966
"7","1","4",48,14.4578313253012
"8","2","4",64,17.9271708683473
