"","Distribution","Sample size","Parameters","Mean","Quantiles"
"param1","Gamma","531","shape = 12.05(0.73), rate = 0.76(0.05) shift = 11.1","4.7","-2.9~14.7"
"param2","Gamma","952","shape = 9.45(0.43), rate = 0.7(0.03) shift = 7","6.4","-0.7~16.3"
